contact_id,contact_type,name,website,owner,county,city,state,zip,address,phone,circulation,publication_days
202,1,Sikeston Standard-Democrat,http://www.Standard-Democrat.com,Rust Communications,"New Madrid County, Scott County",Sikeston,MO,63801,205 South New Madrid,573-471-1137,3000,Sun-Wed-Fri
203,1,Slater Main Street News,http://www.SlaterMainStreetNews.com,Independently Owned Newspaper,Saline County,Slater,MO,65349,222 Main Street,660-529-2249,1200,Thursday
33,3,Socket,,Ownership information not listed,,Columbia,MO,65202,2703 Clark Lane,573-817-0000,,
204,1,Springfield Business Journal,http://www.SBJ.net,Independently Owned Newspaper,Greene County,Springfeild,MO,65801,PO Box 1,417-831-3238,8403,Monday
35,5,Springfield Daily Citizen,https://sgfcitizen.org/,Ownership information not listed,Greene County,Springfield,MO,65897,901 S. National Ave.,417-837-3666,online,online
205,1,Springfield Daily Events,http://www.TheDailyEvents.com,Independently Owned Newspaper,Greene County,Springfeild,MO,65806,"310 West Walnut Street, P.O. Box 1",(417) 340-3232,266,Daily
206,1,Springfield News Leader,http://www.News-Leader.com,Gannett,Greene County,Springfield,MO,65806,"901 E St. Louis St, Suite 1100",417-836-1170,7549,Sun-Fri
221,1,St. Charles County Business Record,http://www.MLMcounnties.com,BridgeTower Media,St Charles County,St. Peters,MO,63303,"1660 Heritage Landing, Ste. 209",636-949-6928,62,Daily
207,1,St. Charles County Journal,,"Pulse Newspaper Publishing, Inc.",St Charles County,St. Charles,MO,63301-3402,"300 S. 2nd Street, Ste. A",816-221-2552,247,Daily
209,1,St. Joseph News-Press,http://www.NewsPressNow.com,News-Press Gazette Company,Buchanan County,St. Joseph,MO,64502,"825 Edmond Street, P.O. Box 29",816-271-8500,7000,Friday
167,1,St. Louis | Community News,http://www.MyCNews.com,CherryRoad Media,St Louis County,Troy,MO,63379,280 Magee Street,636-379-1775,10000,Wednesday
220,1,St. Louis | Webster - Kirkwood Times,,Independently Owned Newspaper,St Louis County,St. Louis,MO,63119,"122 West Lockwood Ave., 2nd Floor",314-968-2699,"35,800",Friday
210,1,St. Louis American,https://www.stlamerican.com/,Independently Owned Newspaper,"St Charles County, St Louis County",St. Louis,MO,63103,"The St. Louis American, 2315 Pine Street",314-533-8000,"42,500",Thursday
213,1,St. Louis City Monitor,,"Pulse Newspaper Publishing, Inc.","St Louis city, St Louis County",St. Louis,MO,63118-1019,"3115 S. Grand Blvd. , Ste. 600D",816-221-2552,305,Daily
93,1,St. Louis Countian,http://www.MLMcounnties.com,BridgeTower Media,St Louis County,Fenton,MO,63026,"1400 South Highway Drive, Suite 103",314-727-6111,114,Daily
215,1,St. Louis County Ledger,,"Pulse Newspaper Publishing, Inc.","St Louis city, St Louis County",St. Louis,MO,63105,"7730 Carondelet, Ste. 101",816-221-2552,418,Daily
216,1,St. Louis Daily Record,http://www.MLMcounnties.com,BridgeTower Media,St Louis County,St. Louis,MO,63099,"100 South 4th Street, Ste. 514",314-558-3257,172,Daily
217,1,St. Louis Labor Tribune,http://www.LaborTribune.com,Independently Owned Newspaper,St Louis County,St. Louis,MO,63103,301 S. Ewing Ave.,(314) 535-9660,49325,Thursday
218,1,St. Louis Missouri Lawyers Weekly,http://www.molawyersmedia.com,BridgeTower Media,St Louis County,St. Louis,MO,63026,"1400 South Highway Drive, Suite 103",314-558-3257,1731,2nd Wed of each month
219,1,St. Louis Post-Dispatch,http://www.stltoday.com,Lee Enterprises,St Louis County,St. Louis,MO,63101,901 N. 10th St.,314-340-8549,116300,Daily
222,1,Ste. Genevieve Herald,http://www.SteGenHerald.com,Ownership information not listed,Ste Genevieve County,Ste. Genevieve,MO,63670,"374 Market St. Apt. 2B, Apt. 2B",573-883-2222,2100,Wednesday
223,1,Steelville Star-Crawford Mirror,http://www.ThreeRiversPublishing.com,"Warden Publishing Co., Inc.",Crawford County,Belle,MO,65013,"1110 Hwy. 28, Unit B",(573) 859-3323,1591,Thursday
25,2,Steve Ahrens,,Ownership information not listed,,,,,,573-893-7655,,
224,1,Stockton Cedar County Republican,http://www.CedarRepublican.com,Carpenter Media Group,Cedar County,Stockton,MO,65785,"No. 26 Public Square, P.O. Box 1018",417-276-4211,1906,Wednesday
225,1,Sullivan Independent News,http://www.MySullivanNews.com,Independently Owned Newspaper,Franklin County,Sullivan,MO,63080,"411 Scottsdale Dr., P.O. Box 268",573-468-6511,5000,Wednesday
226,1,Summersville Beacon,,Independently Owned Newspaper,Texas County,Summersville,MO,65571,"205 Richards Avenue, P.O. Box 272",417-932-4700,5500,Monday
227,1,Sweet Springs Herald,,Independently Owned Newspaper,Saline County,Sweet Springs,MO,65351,238 Main Street,660-335-6366,687,Wednesday
1,1,Test Organization,http://www.google.com,Ownership information not listed,Cape Girardeau County,Cape Girardeau,MO,63701,1610 N Kingshighway St,(636) 555-1212,,
228,1,Thayer South Missourian News,http://www.SouthMissourianNews.com,CherryRoad Media,Oregon County,Thayer,MO,65791,109 Chestnut Street,417-264-3085,1200,Thursday
229,1,Tipton Times,http://www.TiptonTimes.com,"Vernon Publishing, Inc.",Moniteau County,Tipton,MO,65081,"113 East Morgan Street, P.O. Box U",660-433-5721,1465,Thursday
106,1,Tribune and Times,http://www.TribuneAndTimes.com,Independently Owned Newspaper,"Bates County, Cass County",Harrisonville,MO,64701,"305 W. Wall St. #C, P.O. Box 275",816-793-0540,1943,Thursday
232,1,Troy Free Press,http://www.LincolnNewsNow.com,Ownership information not listed,Lincoln County,Troy,MO,63379,280 Magee Street,636-528-9550,750,Wednesday
233,1,Unionville Republican,https://northmissouriannews.com/,Independently Owned Newspaper,Putnam County,Unionville,MO,63565,"111 South 16th Street, P.O. Box 365",660-947-2222,900,Wednesday
234,1,Van Buren Current Local,,Independently Owned Newspaper,Carter County,Van Buren,MO,63965,"402 John St, P.O. Box 100",(573) 944-6534,1020,Thursday
56,1,Vandalia Leader,http://www.VandaliaLeader.com,CherryRoad Media,Audrain County,Bowling Green,MO,63334,"106 Main Street, P.O. Box 110",573-594-2222,1020,Thursday
237,1,Warren County Record,http://www.WarrenCountyRecord.com,Westplex Media Group,Warren County,Warrenton,MO,63383,103 E. Booneslick,636-456-6397,3107,Thursday
236,1,Warrensburg Star-Journal,http://www.WarrensburgStarJournal.com,Carpenter Media Group,Johnson County,Warrensburg,MO,64093,"101 East Market Street, Suite D",660-747-8123,2142,Tue & Fri
239,1,Washington Missourian,http://www.Missourian.com,Hoffman,Franklin County,Washington,MO,63090,6321 Bluff Rd.,636-239-7701,8713,"Wed., Sat., Sun."
240,1,Wellsville Optic-News,,Independently Owned Newspaper,Montgomery County,Wellsville,MO,63384,123 West Hudson Street,573-684-2929,1205,Wednesday
23,2,Wendy Baker,,Ownership information not listed,,Jefferson City,MO,65102,P.O. Box 1603,573-751-4050,,
70,1,West & Mid Rivers Newsmagazine,http://www.midriversnewsmagazine.com,Independently Owned Newspaper,"St Charles County, St Louis County",Chesterfield,MO,63005,754 Spirit 40 Park Dr.,636-591-0010,75000,Bi-Monthly on Wed
241,1,West Plains Daily Quill,http://www.WestPlainsDailyQuill.net,Carpenter Media Group,Howell County,West Plains,MO,65775,"205 Washington Ave, P.O. Box 110",417-256-9191,4000,Wed & Sat
97,1,West Side Leader,http://www.MyLeaderPaper.com,Leader Publications,Jefferson County,Festus,MO,63028,"503 North 2nd Street, P.O. Box 159",636-937-7501,10907,Thursday
242,1,Weston Chronicle,http://www.PlatteChronicle.com,Independently Owned Newspaper,Platte County,Weston,MO,64098,"18275 Hwy 45 North, P.O. Box 6",816-640-2251,1600,Wednesday
243,1,Willow Springs Howell County News,http://www.HowellCountyNews.com,Independently Owned Newspaper,Howell County,Willow Springs,MO,65793,110 West Main St.,417-252-2123,2300,Wednesday
159,1,Wright County Journal,http://www.WrightCountyJournal.com,Independently Owned Newspaper,Wright County,Mountain Grove,MO,65711,"150 East 1st Street, P.O. Box 530",417-926-5148,2034,Wednesday
